Precision at .75,Recall at .10,AUC,Precision at .5,f1 at 0.75,Recall at .85,Precision at .2,f1 at 0.85,f1 at 0.5,f1 at 0.05,Recall at .20,train_time (sec),Precision at .25,Recall at .25,test_time (sec),f1 at 0.2,Precision at .05,classifier,f1 at 0.1,Recall at .5,Recall at .05,Recall at .75,Precision at .10,Precision at .85,Accuracy,f1 at 0.25
0.821428571429 (0.127108074429),0.67294212034 (0.0074947946865),0.861079967796 (0.00264443051127),0.624438354812 (0.028239832619),0.00497617007758 (0.00172809760334),0.0 (0.0),0.400435081867 (0.00433716668463),nan (nan),0.212968196161 (0.0138264988067),0.289691802094 (0.00490624747602),0.485071676872 (0.0130845080455),0.641450643539 (0.00945353233505),0.440703711892 (0.00540255001287),0.416494026863 (0.00645007301158),0.10751692454 (0.000752228673519),0.438679860777 (0.00796246441887),0.175279174048 (0.00367237785472),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.383240388611 (0.00685833140714),0.128642770999 (0.0106993640356),0.834614754075 (0.00302505179666),0.00249679144815 (0.000870033240584),0.267992228653 (0.00717379538584),0.0 (0.0),0.93654 (0.000278567765544),0.428255801073 (0.00595659285426)
0.611111111111 (0.0785674201318),0.671912874417 (0.00878879405429),0.860699985857 (0.00201269775297),0.64598912558 (0.0317404577608),0.00199213227565 (0.000564722349388),0.0 (0.0),0.406129854255 (0.0100162203062),nan (nan),0.1812317404 (0.00609968931976),0.289140237321 (0.00447767888615),0.474860802037 (0.00218173222791),0.602501153946 (0.0472321604536),0.445161683152 (0.0119076232489),0.407822450212 (0.00851796695717),0.106757243474 (6.5909789774e-06),0.437756014794 (0.00630320208105),0.174812593484 (0.00339973017402),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.387216911618 (0.00674924417022),0.105532131199 (0.00492243442753),0.836034457384 (0.00310257988982),0.000997736173038 (0.000283038007119),0.272037139874 (0.006572030263),0.0 (0.0),0.9363 (0.000327821089417),0.425617136928 (0.00893106726931)
0.763668663378 (0.037630645341),0.693846727211 (0.00962679608801),0.852543929941 (0.00178155072419),0.589932481474 (0.00478357963505),0.0187175295801 (0.00336911458277),0.00100018718859 (0.000571050484684),0.361097218636 (0.00807238220436),0.0019972451028 (0.00113893281887),0.242700333249 (0.0117652924848),0.286048142713 (0.00405768614174),0.527602900701 (0.00493618151455),0.937349160512 (0.00197135312141),0.406013429866 (0.00995539194178),0.45641199438 (0.000529218451476),0.106819947561 (3.80785314866e-05),0.428728315198 (0.00711525438907),0.173179127414 (0.00293698822379),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.365361154922 (0.00580810700039),0.152933574871 (0.0095451201085),0.821555723127 (0.00162895161243),0.009477621588 (0.00172218467041),0.247982052318 (0.00453627501517),0.84126984127 (0.136544845509),0.936266666667 (0.000359753001686),0.429676176873 (0.00555514121334)
0.813157894737 (0.0634859899043),0.695455670741 (0.00808821023233),0.853921040246 (0.00154437359776),0.611410296427 (0.0113449652078),0.014828717439 (0.0030554450907),0.000800094124484 (0.000565766953604),0.368516517726 (0.00590329378445),nan (nan),0.237503879768 (0.00370532547641),0.283485563582 (0.000385319554734),0.521523651112 (0.00534680791959),0.837048212687 (0.00128326090725),0.41477585165 (0.00648143938935),0.449834331562 (0.00377992752338),0.106838226318 (2.92488197002e-05),0.431843711893 (0.00502773933226),0.171253864576 (0.000359035707733),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.366718959955 (0.00179918163223),0.147424908369 (0.00344608876194),0.822554406676 (0.00247358320844),0.00748764519694 (0.00155787199865),0.249018279972 (0.000656049990054),0.666666666667 (0.471404520791),0.93674 (0.000197989898732),0.431544202363 (0.00285601973402)
0.753906718015 (0.0366921567229),0.69814652912 (0.0077665103711),0.848431962921 (0.00291262215556),0.585621203958 (0.0112463690758),0.0218275819468 (0.0022796375245),0.00150311712338 (0.00137045521814),0.355584908044 (0.00361725819646),nan (nan),0.247885387246 (0.00575985790137),0.278700818989 (0.00331240689661),0.529593717275 (0.00577697589149),0.97211376826 (0.0477770852694),0.40455872067 (0.00652410391995),0.460003694533 (0.00446764095685),0.107174634933 (0.000368806082384),0.42547818347 (0.00407236513885),0.16790798037 (0.0022001305354),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.357272519594 (0.00398054088568),0.15729928582 (0.00524024114882),0.819364460037 (0.00494198598827),0.0110772477861 (0.00117867142505),0.240065328361 (0.0028494149331),0.528571428571 (0.373801941082),0.93622 (0.000130639452948),0.430494583684 (0.00547294989347)
0.70730994152 (0.0724780609597),0.699572777166 (0.00402542633436),0.847155145468 (0.00384049221684),0.59615331281 (0.0158159274637),0.0132403208547 (0.000597453423179),0.000799708799555 (0.000376757025424),0.357289155827 (0.00767081652158),0.00159785630186 (0.000752414655622),0.235718478079 (0.0104823506327),0.276426703287 (0.00306239991289),0.528978555264 (0.00898674824465),0.838310082753 (0.00226832534051),0.404755716907 (0.00963173310728),0.45489641358 (0.00445772621059),0.107111136119 (0.000365934402753),0.426490280789 (0.00808282844666),0.166259948005 (0.00206248744305),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.357505071105 (0.00297947197361),0.147129569397 (0.00913369090127),0.819386133853 (0.00527356215542),0.00668387454912 (0.000307707165281),0.240103647637 (0.00221822225909),1.0 (0.0),0.936293333333 (0.000450875691171),0.428310428436 (0.00631752441547)
0.764021164021 (0.036319581591),0.675276723598 (0.0132752965039),0.861854268315 (0.00216893776527),0.638449896637 (0.0235724688038),0.00318855331344 (0.000761029222189),0.0 (0.0),0.399582751155 (0.00814429370092),nan (nan),0.191802503216 (0.00430112954715),0.289530257689 (0.00571741760143),0.487902018206 (0.00990193682872),1.22383157412 (0.0455407217857),0.442925422082 (0.00844809206704),0.42089031176 (0.00387026397075),0.112353722254 (0.000594010701924),0.439270309821 (0.00669219020342),0.175169927601 (0.00440642225922),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.384699906388 (0.00157687662998),0.112906457877 (0.00326155847165),0.834724503263 (0.0055318521348),0.0015978067664 (0.00038214702885),0.269002962517 (0.00107948780002),0.0 (0.0),0.936413333333 (0.000114697670227),0.431603530956 (0.00555901824749)
1.0 (0.0),0.669036377021 (0.00746656428196),0.861409543669 (0.0022386712958),0.654525098234 (0.0228824651764),0.00139897017116 (0.000753919215624),0.0 (0.0),0.405781841473 (0.00523872358374),nan (nan),0.17635728693 (0.00872102577131),0.289939437922 (0.00580052125802),0.481604773879 (0.00841616409289),1.05726408958 (0.000463423083695),0.4500004099 (0.00612903139525),0.410515524922 (0.00334972683697),0.111857334773 (0.000135056122592),0.440451569453 (0.00660242336084),0.175336209044 (0.00436371072984),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.389462952109 (0.00695653092125),0.102035468354 (0.00640013077912),0.837621550373 (0.00310315318105),0.000700117125419 (0.000377542722919),0.274744934594 (0.00691708125415),0.0 (0.0),0.936346666667 (0.000260426999795),0.429344981232 (0.00443110014005)
0.748798798799 (0.0760504210996),0.696064105503 (0.00519135784624),0.856480529093 (0.00182837918523),0.606681901113 (0.0110905352453),0.0138340087957 (0.00267616044207),0.000500933777146 (0.000512587386853),0.36800674428 (0.0095648736156),nan (nan),0.251640817389 (0.00397362230412),0.287965754765 (0.00388899436121),0.525000320507 (0.0068179999276),1.76170460383 (0.00209187597493),0.414084930365 (0.00934103554077),0.455515915572 (0.000743873720574),0.111475547155 (0.000124615217946),0.432673521783 (0.0085945557629),0.174397691062 (0.00282035263066),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.371836664529 (0.00259619924818),0.158798094837 (0.00380769638239),0.825754429722 (0.000809989128947),0.00698671141979 (0.00136605011546),0.253676085357 (0.00182261760679),0.6 (0.432049379894),0.93688 (0.000416973220563),0.433752922254 (0.00485225658296)
0.799294532628 (0.0475235831904),0.698859987765 (0.00448798300728),0.856985102106 (0.00204397991038),0.609591619191 (0.0181424469909),0.00873546644232 (0.00227627540956),0.000600910776212 (0.000492019345958),0.370330469588 (0.00613042948355),nan (nan),0.23067850023 (0.00452201003748),0.287296525618 (0.00349480893632),0.52220611861 (0.007044496625),1.52819689115 (0.0478868522365),0.416625540027 (0.00706486458092),0.45070401125 (0.00667057314027),0.111089626948 (0.000542957588715),0.433326882643 (0.00598946088537),0.173718103189 (0.00258296589669),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.370511768383 (0.00257876109225),0.14233050829 (0.00404539498899),0.830049683052 (0.00160200779745),0.00439421341981 (0.00115379861809),0.252080143675 (0.00198966513235),0.6 (0.432049379894),0.93656 (0.000203960780544),0.432958981641 (0.00562231890378)
0.737305479399 (0.0747983384946),0.702952242157 (0.00431204447968),0.852633681618 (0.00168705768856),0.593765165698 (0.012409127864),0.0165583294457 (0.00372046788939),0.00140145975862 (0.000996271994979),0.361406114415 (0.00725714609348),0.00279539690073 (0.00198424284312),0.245290209777 (0.00741768804371),0.281881922963 (0.00303990983429),0.532274948318 (0.00875972237702),1.76643323898 (0.00518127696049),0.406060840193 (0.00679230062122),0.457291825795 (0.00397753967259),0.111184835434 (0.000147892692872),0.430504404611 (0.00801335103245),0.169943614515 (0.00218355462453),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.365686579421 (0.00123127810592),0.154689668371 (0.00660670358164),0.825961945366 (0.0024795071785),0.00837700254242 (0.00189994242196),0.247124143059 (0.000883087945505),0.916666666667 (0.117851130198),0.936406666667 (0.000254209012866),0.430149367044 (0.00556841582609)
0.773748473748 (0.0589780243921),0.706139731993 (0.00485327289042),0.853779354123 (0.00195161796298),0.607285642441 (0.0111813313668),0.0116790974932 (0.000998075527925),0.000800548982404 (0.000513965842189),0.364532180798 (0.00847507258541),0.00159898872491 (0.00102559428424),0.233790329565 (0.005593145136),0.280848610902 (0.0028397723503),0.528488126666 (0.00751709283428),1.59585960706 (0.0492082740564),0.41232134774 (0.00575405888686),0.455209155919 (0.00223378284143),0.111181974411 (0.00023423150148),0.431447428878 (0.00835134609454),0.169025904093 (0.00202190298523),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.363830516872 (0.00257551785239),0.144832517562 (0.0048628480367),0.829960558897 (0.0039316711841),0.00588493639942 (0.000509172435816),0.245047684768 (0.00204598712892),0.944444444444 (0.0785674201318),0.936566666667 (0.000213124898175),0.43269625211 (0.00416922563559)
0.714285714286 (0.210280020627),0.682080145611 (0.00905794485779),0.862420537307 (0.00209916497876),0.634761831735 (0.0217363793947),0.00259466052651 (0.00198405708174),0.0 (0.0),0.402156280766 (0.0102810080526),nan (nan),0.200816342527 (0.00781110280051),0.290669044306 (0.00584591086584),0.486313276724 (0.00583928457661),2.30082535744 (0.00164434320517),0.441044500557 (0.0107898798378),0.420393471704 (0.00281504892892),0.225441535314 (4.53611144902e-05),0.440182401305 (0.00718774792757),0.17591440965 (0.00447491948902),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.386072172113 (0.00382774161701),0.119392481779 (0.00606086087626),0.836740878775 (0.00600723040957),0.00130148275955 (0.0009971464341),0.269235596841 (0.0024496404244),0.0 (0.0),0.93652 (0.00011430952133),0.430436969341 (0.00656369192686)
0.25 (0.353553390593),0.678206233621 (0.00882054277069),0.861913576136 (0.00234309446561),0.643491467873 (0.0280160586897),nan (nan),0.0 (0.0),0.409372514069 (0.00889393479637),nan (nan),0.169941346432 (0.00242355440649),0.288490375222 (0.00490958067815),0.474831395637 (0.00794469979343),1.96393855413 (0.0471438438103),0.452706977369 (0.0056451095359),0.407721253492 (0.003703133773),0.225430091222 (0.000135200830329),0.439639479533 (0.00749119512274),0.174100975564 (0.00371956781758),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.385148046392 (0.00509131776966),0.0979516853235 (0.00219094994876),0.841614352156 (0.003833229083),0.000301295570955 (0.000426096282728),0.268947446011 (0.00392816389354),0.0 (0.0),0.936053333333 (0.000221710521978),0.429036302182 (0.00455562305057)
0.711804511278 (0.0244845865402),0.698263700888 (0.00469372737187),0.859141000544 (0.00147152398116),0.605167804137 (0.0112735171259),0.0128586584243 (0.00271518128385),0.000901366164318 (0.000738029018937),0.369744926273 (0.00554576956843),nan (nan),0.246590866716 (0.00514148327321),0.291373208638 (0.00274758891885),0.52532115467 (0.00336811495331),3.30681856473 (0.00437213717075),0.414681310896 (0.00657922419914),0.456322345834 (0.00180372340837),0.22514128685 (7.85988591355e-05),0.433988388327 (0.00418510298337),0.176752623697 (0.00212128595548),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.374404659641 (0.00158111624963),0.154908422184 (0.00457946907631),0.82904354505 (0.00260014972591),0.00649004808988 (0.00138236163248),0.255776658405 (0.00100015168646),0.583333333333 (0.424918292799),0.936746666667 (9.42809041582e-05),0.43447257794 (0.00337088123364)
0.767792207792 (0.100888948164),0.701539228438 (0.00754379276922),0.858701301638 (0.00237322848396),0.61078795634 (0.00881088040884),0.0093223317497 (0.0025150500911),0.000901366164318 (0.000738029018937),0.371593160426 (0.00910701690057),nan (nan),0.228413156397 (0.00617865098529),0.289083262396 (0.0045645862521),0.520616820866 (0.00582256782579),2.84313019117 (0.0408724443874),0.418533528392 (0.00819775696265),0.450818094631 (0.00191217563475),0.224275986354 (0.000998520052599),0.433633594387 (0.00800849536094),0.174886268533 (0.00326542314013),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.374496833593 (0.00427709214961),0.140528477079 (0.00499954836168),0.833234860939 (0.00165851696127),0.00469375909208 (0.00127452180423),0.255429028834 (0.00319678778946),0.619047619048 (0.441600880738),0.93656 (0.000184028983225),0.434049086684 (0.00519753716916)
0.772218801314 (0.0537210808987),0.704736661402 (0.0060874684208),0.85541038855 (0.00154661743518),0.606732325141 (0.012698472665),0.0146239378038 (0.00124020314119),0.00100057251352 (0.000620909123237),0.364701162668 (0.00718059284697),0.0019976529302 (0.00123820784482),0.24322465764 (0.0076664693212),0.284350092429 (0.00347682131229),0.532385923014 (0.00598306855808),3.40886624654 (0.00542213493143),0.409911491234 (0.00761388147402),0.460598199638 (0.00219803877444),0.224494059881 (0.000391887883468),0.432858924979 (0.00686261840188),0.171649951664 (0.00257696859667),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.368800134118 (0.00441871049181),0.152188113958 (0.00635379497021),0.828164130833 (0.00342295244359),0.00738231130884 (0.000629267113677),0.249758674979 (0.00359531284643),0.916666666667 (0.117851130198),0.936726666667 (0.000176131264182),0.433754213609 (0.00503969707493)
0.733445566779 (0.111960948657),0.704038294175 (0.00608755458623),0.854852945687 (0.0020685063014),0.609002160733 (0.0152942135767),0.0095130557382 (0.000513811130351),0.000600910776212 (0.000492019345958),0.366039971545 (0.00839436960058),nan (nan),0.231643566628 (0.00737537132352),0.282184816042 (0.002889908708),0.529474694203 (0.00970605808993),3.00998878479 (0.00700851051672),0.413988100351 (0.00654691227857),0.454206030984 (0.00383169198006),0.223626931508 (0.00260375185796),0.432824328045 (0.00868169259953),0.170109699165 (0.00212977266307),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.367525559909 (0.00330456345809),0.143121815261 (0.00612122498397),0.827257932171 (0.00177716032626),0.00478851826809 (0.000262118354113),0.248671979556 (0.0024566243333),0.6 (0.432049379894),0.936566666667 (0.000146363322667),0.433136484076 (0.00425097851791)
0.722222222222 (0.207869854821),0.678234591239 (0.00231488333147),0.861577213574 (0.00247507572658),0.63398318084 (0.0251261394559),0.00278518470769 (0.000551509330671),0.0 (0.0),0.393011356386 (0.0130534210058),nan (nan),0.197414530453 (0.00883027379339),0.280923587274 (0.00708594879444),0.486814911619 (0.00605675519957),0.739412148794 (0.0028022543176),0.440872947477 (0.00739153489203),0.413004123141 (0.00440940053276),0.107147693634 (0.000364489272948),0.434782572319 (0.00835413851746),0.168290826798 (0.00517858009237),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.38280014156 (0.00439813790078),0.116969824473 (0.00596847171438),0.850209615994 (0.00393670628315),0.00139533221972 (0.000276072491381),0.266668086716 (0.00420763475667),0.0 (0.0),0.936453333333 (0.000306521704869),0.426478820816 (0.00576847879103)
0.25 (0.353553390593),0.68129828925 (0.00862463473283),0.860475932737 (0.00227704493069),0.639436081124 (0.0321763139068),nan (nan),0.0 (0.0),0.403530104138 (0.0120826272502),nan (nan),0.159941936939 (0.0161495041179),0.275796283816 (0.00474354216741),0.468232166197 (0.0138517535804),0.702557961146 (0.0467590042802),0.44345893743 (0.0138977542702),0.39675767189 (0.00271603412814),0.107122103373 (0.000317195428414),0.433337851708 (0.0101215046889),0.164490533821 (0.0033664783573),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.378411441568 (0.00565573208901),0.0915346588485 (0.0104111468118),0.85328918186 (0.00160177081606),0.00060259114191 (0.000852192565455),0.261997900932 (0.00535718171405),0.0 (0.0),0.935826666667 (0.000312552217859),0.41874521545 (0.00762552167444)
0.764202898551 (0.0136401374677),0.693554919911 (0.00816007641794),0.852496522783 (0.002115088268),0.600560514762 (0.00952044564359),0.0204708602551 (0.00203316649854),0.00160025778196 (0.00086729407575),0.361982371986 (0.00898707344817),0.00319306698353 (0.00172812173828),0.24875229721 (0.00379413978553),0.284027359716 (0.00355600466204),0.520487817005 (0.0114900617423),1.20532647769 (0.0465224989229),0.408938122398 (0.00849479902228),0.452393109268 (0.00628337564473),0.106969038645 (3.77075060915e-05),0.426999142897 (0.0101159889887),0.171576403333 (0.00257325231713),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.365870664119 (0.00404703305362),0.156892024777 (0.003211231415),0.82436697494 (0.0024156821097),0.0103755893609 (0.00104277253122),0.248478815075 (0.0028946256332),0.911111111111 (0.0684934889219),0.936666666667 (8.05536398239e-05),0.429555968488 (0.00726270161348)
0.701983717464 (0.0656515741259),0.692373755265 (0.00520964993158),0.85275128075 (0.0010684868479),0.604547947415 (0.0187273251952),0.0136263943244 (0.00164577038274),0.000999347005746 (0.000379077489618),0.367383033862 (0.0080249865492),0.00199611052278 (0.000756127619148),0.241547711021 (0.00336216209868),0.28274409212 (0.00179201807213),0.512138192831 (0.00783261686381),1.00575796763 (0.0483691817734),0.414047182432 (0.00821721782976),0.441931194432 (0.00451828485477),0.106927951177 (4.83319147371e-05),0.427843950278 (0.00817085290482),0.170406649103 (0.00145000170049),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.365224005119 (0.00315459410813),0.151004953154 (0.00351344326679),0.829840663768 (0.00394242426419),0.00688137753169 (0.000838901426651),0.248029837368 (0.00227280647192),0.944444444444 (0.0785674201318),0.936626666667 (0.000386551707049),0.427518210475 (0.00628066302871)
0.782891100055 (0.029167942702),0.69665374045 (0.00739776507364),0.84798824 (0.00228984584712),0.589004662938 (0.0137296428109),0.0227785307409 (0.00679791251784),0.00129973286086 (0.000926316615543),0.357929575337 (0.00806907779155),nan (nan),0.249093271158 (0.010462095502),0.279934327057 (0.00102261134379),0.524307486896 (0.00600298188054),1.23853071531 (0.00193787803536),0.402362024384 (0.00679747180679),0.449821059575 (0.00220233129208),0.107248624166 (0.000443446863925),0.425407541086 (0.00737189492797),0.16890432627 (0.000641949828613),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=50, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.361123438911 (0.00353189981814),0.158084256654 (0.00868418927958),0.816981441966 (0.00268628875537),0.0115695711358 (0.00350090819151),0.243734222825 (0.0023369112313),0.481481481481 (0.343467351685),0.93634 (7.11805216802e-05),0.424742161834 (0.00414288708581)
